user_id,coffee_shop_id,check_in_time,coffee_pack_id,rating,check_in_text,image_url
0,2,1970-01-01 00:00:01.647631200,4,8,Great coffee shop! The atmosphere is cozy and the coffee is amazing.,
1,3,1970-01-01 00:00:01.647652800,2,6,Enjoyed my visit to this coffee shop. The staff was friendly and the coffee was decent.,
2,0,1970-01-01 00:00:01.647667200,6,9,The coffee pack I purchased from here was excellent. Highly recommended!,
3,4,1970-01-01 00:00:01.647681600,0,7,Average coffee shop experience. Nothing particularly special about it.,
4,1,1970-01-01 00:00:01.647696000,3,5,Disappointed with the coffee here. Not worth the price.,
5,2,1970-01-01 00:00:01.647706800,5,9,Love the ambiance of this coffee shop. The coffee is top-notch as well!,
6,0,1970-01-01 00:00:01.647717600,1,8,Tried a new coffee pack from this place and it was fantastic. Will definitely buy again!,
7,3,1970-01-01 00:00:01.647732000,7,6,Decent coffee shop. The coffee was good but nothing extraordinary.,
8,4,1970-01-01 00:00:01.647746400,6,7,The coffee pack I bought here was okay. Expected better quality for the price.,
9,1,1970-01-01 00:00:01.647757200,0,8,Great coffee and friendly staff. Would definitely recommend this place to others.,
0,4,1970-01-01 00:00:01.647768000,7,9,Absolutely loved the coffee pack I got from here. The flavors were rich and aromatic.,
1,2,1970-01-01 00:00:01.647778800,3,6,Average coffee shop experience. Nothing too special about it.,
2,1,1970-01-01 00:00:01.647793200,1,8,The coffee here is amazing! Great atmosphere and friendly staff.,
3,0,1970-01-01 00:00:01.647804000,5,7,"The coffee pack I purchased was good, but a bit overpriced.",
4,3,1970-01-01 00:00:01.647814800,0,5,Disappointed with the coffee shop. The coffee tasted burnt.,
5,2,1970-01-01 00:00:01.647825600,2,9,One of the best coffee shops I've been to. The coffee is exceptional!,
6,4,1970-01-01 00:00:01.647836400,6,8,Enjoyed my visit to this coffee shop. The staff was welcoming and the coffee was delicious.,
7,1,1970-01-01 00:00:01.647847200,4,7,"Decent coffee shop. The coffee was okay, but nothing extraordinary.",
8,0,1970-01-01 00:00:01.647858000,1,6,"Tried a new coffee pack from here and it was decent. Not the best I've had, but not bad either.",
9,3,1970-01-01 00:00:01.647868800,2,9,Love this coffee shop! The coffee is consistently great and the ambiance is cozy.,
10,4,1970-01-01 00:00:01.647879600,5,8,The coffee pack I got from here was excellent. Highly recommend trying it out!,
11,2,1970-01-01 00:00:01.647890400,7,5,Not impressed with this coffee shop. The coffee was bland and uninspiring.,
12,1,1970-01-01 00:00:01.647901200,3,9,Amazing coffee shop! The coffee is always fresh and flavorful.,
13,0,1970-01-01 00:00:01.647912000,0,8,The coffee pack I bought was fantastic. Loved the variety of flavors!,
14,3,1970-01-01 00:00:01.647922800,6,7,Good coffee shop with friendly staff. The coffee was enjoyable.,
15,2,1970-01-01 00:00:01.647933600,4,6,"The coffee here is decent, but nothing extraordinary. Could use some improvement.",
16,1,1970-01-01 00:00:01.647944400,2,9,This coffee shop is a gem! The coffee is exceptional and the service is outstanding.,
17,0,1970-01-01 00:00:01.647955200,7,8,Enjoyed my visit to this coffee shop. The coffee pack I bought was delicious.,
18,4,1970-01-01 00:00:01.647966000,1,5,"The coffee here was okay, but nothing to write home about.",
19,3,1970-01-01 00:00:01.647976800,3,9,Fantastic coffee shop with a great selection of coffee packs. Definitely worth a visit!,
